F1051610,IL_2-45,1,FOIL,3,,1,,0.25,,,,,,,,,,,,"Foil, 0.25 oz /H 18x24T",,,,,,,,,,,,,F,CF-Q-1824-TOOLED-OAK,CF-Q-1824-TOOLED-OAK,CF-Q-1824-TOOLED-OAK,CF-Q-1824-TOOLED-OAK
F1051610,IL_2-45,2,B-STAGE,388,,,,,,1,1,1,0,1078,,,,,,MetWave4000 1078 (74%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H
F1051610,IL_2-45,3,CORE,266,,2,3,1,2,,,,,,,,,,,MetWave4000 0.0025 S1xS2 CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-002512-2418G,LMV4000-002512-2418G,LMV4000-002512-2418G,LMV4000-002512-2418G
F1051610,IL_2-45,4,B-STAGE,608,,,,,,12,0,3,0,1035,,,,,,MetWave4000 1035 (79%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010352418U,PP-MWAV400010352418U,PP-MWAV400010352418U,PP-MWAV400010352418U
F1051610,IL_2-45,5,CORE,266,,4,5,1,1,,,,,,,,,,,MetWave4000 0.0025 S1xS1 CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-002511-2418G,LMV4000-002511-2418G,LMV4000-002511-2418G,LMV4000-002511-2418G
F1051610,IL_2-45,6,B-STAGE,304,,,,,,1,0,0,0,1035,,,,,,MetWave4000 1035 (79%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010352418U,PP-MWAV400010352418U,PP-MWAV400010352418U,PP-MWAV400010352418U
F1051610,IL_2-45,7,CORE,323,,6,7,0.5,0.5,,,,,,,,,,,MetWave4000 0.003 SHxSH CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G
F1051610,IL_2-45,8,B-STAGE,388,,,,,,1,0,0,0,1078,,,,,,MetWave4000 1078 (74%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H
F1051610,IL_2-45,9,CORE,323,,8,9,0.5,0.5,,,,,,,,,,,MetWave4000 0.003 SHxSH CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G
F1051610,IL_2-45,10,B-STAGE,388,,,,,,2,1,0,0,1078,,,,,,MetWave4000 1078 (74%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H
F1051610,IL_2-45,11,CORE,323,,10,11,0.5,0.5,,,,,,,,,,,MetWave4000 0.003 SHxSH CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G
F1051610,IL_2-45,12,B-STAGE,388,,,,,,1,0,4,0,1078,,,,,,MetWave4000 1078 (74%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H
F1051610,IL_2-45,13,CORE,323,,12,13,0.5,0.5,,,,,,,,,,,MetWave4000 0.003 SHxSH CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G
F1051610,IL_2-45,14,B-STAGE,388,,,,,,2,3,0,0,1078,,,,,,MetWave4000 1078 (74%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H
F1051610,IL_2-45,15,CORE,323,,14,15,0.5,0.5,,,,,,,,,,,MetWave4000 0.003 SHxSH CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G
F1051610,IL_2-45,16,B-STAGE,388,,,,,,1,0,0,0,1078,,,,,,MetWave4000 1078 (74%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H
F1051610,IL_2-45,17,CORE,323,,16,17,0.5,0.5,,,,,,,,,,,MetWave4000 0.003 SHxSH CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G
F1051610,IL_2-45,18,B-STAGE,388,,,,,,1,0,0,0,1078,,,,,,MetWave4000 1078 (74%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H
F1051610,IL_2-45,19,CORE,323,,18,19,0.5,0.5,,,,,,,,,,,MetWave4000 0.003 SHxSH CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G
F1051610,IL_2-45,20,B-STAGE,388,,,,,,1,30,2,0,1078,,,,,,MetWave4000 1078 (74%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H
F1051610,IL_2-45,21,CORE,323,,20,21,0.5,0.5,,,,,,,,,,,MetWave4000 0.003 SHxSH CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G
F1051610,IL_2-45,22,B-STAGE,388,,,,,,1,0,0,0,1078,,,,,,MetWave4000 1078 (74%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H
F1051610,IL_2-45,23,CORE,266,,22,23,1,2,,,,,,,,,,,MetWave4000 0.0025 S1xS2 CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-002512-2418G,LMV4000-002512-2418G,LMV4000-002512-2418G,LMV4000-002512-2418G
F1051610,IL_2-45,24,B-STAGE,608,,,,,,2,2,2,0,1035,,,,,,MetWave4000 1035 (79%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010352418U,PP-MWAV400010352418U,PP-MWAV400010352418U,PP-MWAV400010352418U
F1051610,IL_2-45,25,CORE,266,,24,25,2,1,,,,,,,,,,,MetWave4000 0.0025 S1xS2 CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-002512-2418G,LMV4000-002512-2418G,LMV4000-002512-2418G,LMV4000-002512-2418G
F1051610,IL_2-45,26,B-STAGE,388,,,,,,2,0,0,0,1078,,,,,,MetWave4000 1078 (74%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H
F1051610,IL_2-45,27,CORE,323,,26,27,0.5,0.5,,,,,,,,,,,MetWave4000 0.003 SHxSH CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G
F1051610,IL_2-45,28,B-STAGE,388,,,,,,1,0,0,0,1078,,,,,,MetWave4000 1078 (74%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H
F1051610,IL_2-45,29,CORE,323,,28,29,0.5,0.5,,,,,,,,,,,MetWave4000 0.003 SHxSH CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G
F1051610,IL_2-45,30,B-STAGE,388,,,,,,3,0,2,0,1078,,,,,,MetWave4000 1078 (74%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H
F1051610,IL_2-45,31,CORE,323,,30,31,0.5,0.5,,,,,,,,,,,MetWave4000 0.003 SHxSH CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G
F1051610,IL_2-45,32,B-STAGE,388,,,,,,2,0,2,0,1078,,,,,,MetWave4000 1078 (74%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H
F1051610,IL_2-45,33,CORE,323,,32,33,0.5,0.5,,,,,,,,,,,MetWave4000 0.003 SHxSH CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G
F1051610,IL_2-45,34,B-STAGE,388,,,,,,1,0,0,0,1078,,,,,,MetWave4000 1078 (74%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H
F1051610,IL_2-45,35,CORE,323,,34,35,0.5,0.5,,,,,,,,,,,MetWave4000 0.003 SHxSH CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G
F1051610,IL_2-45,36,B-STAGE,388,,,,,,2,1,3,0,1078,,,,,,MetWave4000 1078 (74%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H
F1051610,IL_2-45,37,CORE,323,,36,37,0.5,0.5,,,,,,,,,,,MetWave4000 0.003 SHxSH CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G
F1051610,IL_2-45,38,B-STAGE,388,,,,,,2,3,2,0,1078,,,,,,MetWave4000 1078 (74%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H
F1051610,IL_2-45,39,CORE,323,,38,39,0.5,0.5,,,,,,,,,,,MetWave4000 0.003 SHxSH CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G
F1051610,IL_2-45,40,B-STAGE,388,,,,,,1,1,0,0,1078,,,,,,MetWave4000 1078 (74%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H
F1051610,IL_2-45,41,CORE,323,,40,41,0.5,0.5,,,,,,,,,,,MetWave4000 0.003 SHxSH CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G,LMV4000-003HH-2418G
F1051610,IL_2-45,42,B-STAGE,304,,,,,,1,2,0,0,1035,,,,,,MetWave4000 1035 (79%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010352418U,PP-MWAV400010352418U,PP-MWAV400010352418U,PP-MWAV400010352418U
F1051610,IL_2-45,43,CORE,266,,42,43,1,1,,,,,,,,,,,MetWave4000 0.0025 S1xS1 CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-002511-2418G,LMV4000-002511-2418G,LMV4000-002511-2418G,LMV4000-002511-2418G
F1051610,IL_2-45,44,B-STAGE,608,,,,,,2,0,0,0,1035,,,,,,MetWave4000 1035 (79%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010352418U,PP-MWAV400010352418U,PP-MWAV400010352418U,PP-MWAV400010352418U
F1051610,IL_2-45,45,CORE,266,,44,45,2,1,,,,,,,,,,,MetWave4000 0.0025 S1xS2 CA 24x18G (1-1078),,,,,,,,,,,,,C,LMV4000-002512-2418G,LMV4000-002512-2418G,LMV4000-002512-2418G,LMV4000-002512-2418G
F1051610,IL_2-45,46,B-STAGE,388,,,,,,1,0,2,0,1078,,,,,,MetWave4000 1078 (74%) 24x18G,,,,,,,,,,,,,B,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H,PP-MWAV400010782418H
F1051610,IL_2-45,47,FOIL,3,,46,,0.25,,,,,,,,,,,,"Foil, 0.25 oz /H 18x24T",,,,,,,,,,,,,F,CF-Q-1824-TOOLED-OAK,CF-Q-1824-TOOLED-OAK,CF-Q-1824-TOOLED-OAK,CF-Q-1824-TOOLED-OAK
